Title,Authors,Abstract,Publication Date,Journal,Keywords,MeSH Terms,DOI,Author Affiliations
Geneticization in MIM/OMIM®? Exploring Historic and Epistemic Drivers of Contemporary Understandings of Genetic Disease.,Rachel A Ankeny,"Prior to the genomic sequencing era, the bible for those working in clinical genetics was McKusick's Mendelian Inheritance in Man (MIM), which appeared in multiple editions between the 1960s and the late 1990s. This catalogue was organized according to general patterns of inheritance and focused on phenotypes. Beginning in the mid-1980s, it was replaced by Online Mendelian Inheritance in Man (OMIM®), a continuously updated catalogue documenting molecular relationships between genetic variation and phenotypic expression. This paper explores this resource's evolution with attention to how disease is distinguished from clinically irrelevant variation and how phenotypic similarities are captured in cases where there is no obvious genotypic association. It is argued that hybrid compromises are encoded into OMIM®; in addition to serving its key original purpose of being a diagnostic catalogue, it also began to record detectable variations in the genome even if they were not known to be associated with phenotypically visible disorders or even phenotypic variations. Although the impacts of geneticization have been well recognized, particularly in popular media, this example allows exploration of some of the historic, epistemic, and methodological causes that underlie tendencies toward disease geneticization in contemporary medicine, while highlighting that such gene-focused strategies may in fact be warranted in some contexts.",,The Journal Of Medicine And Philosophy,"victor mckusick, clinical genetics, disease, genetic variation, geneticization","chromosome mapping, disease, genetic diseases, inborn, genetic variation, human genetics, humans, medicalization, phenotype, reference books, medical",10.1093/jmp/jhx013,"The University of Adelaide, Adelaide, South Australia, Australia."
Trends and consequences of the technocratic paradigm of childbirth in Portugal: A population-based analysis of birth conditions and social characteristics of parents.,"Sónia Pintassilgo, Helena Carvalho",The aim of this paper is to analyse the evolution of birth conditions in Portugal and to establish a correspondence between maternity care and the socio-economic characteristics of new mothers.,2017-01-01,Sexual & Reproductive Healthcare : Official Journal Of The Swedish Association Of Midwives,"birth, cluster analysis, maternity care, multiple correspondence analysis, social characteristics, technocratic model","adult, cesarean section, delivery, obstetric, educational status, female, home childbirth, hospitals, private, humans, maternal health services, medicalization, parturition, physicians, portugal, pregnancy, social class, young adult",10.1016/j.srhc.2017.06.003,"Instituto Universitário de Lisboa (ISCTE-IUL), Centro de Investigação e Estudos de Sociologia (CIES-IUL), Lisboa, Portugal. Electronic address: sonia.cardoso@iscte.pt., Instituto Universitário de Lisboa (ISCTE-IUL), Centro de Investigação e Estudos de Sociologia (CIES-IUL), Lisboa, Portugal. Electronic address: helena.carvalho@iscte.pt."
Putting knowledge to trial: 'ADHD parents' and the evaluation of alternative therapeutic regimes.,"Claire Edwards, Etaoine Howlett","The role of patients' organisations in shaping (medical) knowledge about particular health conditions and illnesses sheds light on notions of informed patienthood and the dynamics of lay-expert knowledge in the context of medicalisation. This paper considers dynamics of knowledge production in relation to a specific condition area, Attention Deficit Hyperactivity Disorder (ADHD), by investigating how parents of children with ADHD are intervening in knowledge creation about the effectiveness of different treatments for the disorder. It draws on qualitative research carried out between 2009 and 2011 with organisations representing parents of children with ADHD in Ireland, to explore how parents have commissioned evaluations of alternative interventions to medication. Drawing on analysis of 12 semi-structured interviews with both parents and professionals active in the arena of ADHD, documentary evidence, and observation at parent organisations' events, the study demonstrates how parents' interventions have sought to expand the therapeutic domain of ADHD beyond the exclusive realm of biopsychiatry, and the dilemmas they face in making their experiences count in a context where the need for evidence has become paramount in the governance of health.",2013-01-01,Social Science & Medicine (1982),no keywords,"attention deficit disorder with hyperactivity, child, complementary therapies, humans, ireland, knowledge, medicalization, parents, professional-family relations, qualitative research, treatment outcome",10.1016/j.socscimed.2013.01.015,"School of Applied Social Studies, University College Cork, Cork, Ireland. claire.edwards@ucc.ie"
Gellan hydrogel as a powerful tool in paper cleaning process: a detailed study.,"Claudia Mazzuca, Laura Micheli, Marilena Carbone, Francesco Basoli, Eleonora Cervelli, Simonetta Iannuccelli, Silvia Sotgiu, Antonio Palleschi","Wet cleaning of ancient papers is one of the most critical steps during a conservation treatment. It is used to improve the optical qualities of a graphic work and remove dust and by-products resulting from cellulose degradation. Nevertheless, washing treatment usually involves a substantial impact on the original morphological structure of paper and can sometimes be dangerous for water sensitive inks and pigments.",2013-01-01,Journal Of Colloid And Interface Science,"ftir, gel residues, gellan gum, hplc, paper conservation, paper morphology cultural heritage, sem","chromatography, high pressure liquid, green chemistry technology, history, 16th century, history, 17th century, history, 18th century, history, 19th century, humans, hydrogels, hydrogen-ion concentration, italy, microscopy, electron, scanning, paper, polysaccharides, bacterial, spectroscopy, fourier transform infrared",10.1016/j.jcis.2013.10.062,"Dipartimento di Scienze e Tecnologie Chimiche, Università di Roma Tor Vergata, Via della Ricerca Scientifica, 00173 Rome, Italy., Dipartimento di Scienze e Tecnologie Chimiche, Università di Roma Tor Vergata, Via della Ricerca Scientifica, 00173 Rome, Italy; Consorzio Interuniversitario Biostrutture e Biosistemi ""INBB"", Viale Medaglie d'Oro 305, 00136 Rome, Italy. Electronic address: laura.micheli@uniroma2.it., Dipartimento di Scienze e Tecnologie Chimiche, Università di Roma Tor Vergata, Via della Ricerca Scientifica, 00173 Rome, Italy., Dipartimento di Scienze e Tecnologie Chimiche, Università di Roma Tor Vergata, Via della Ricerca Scientifica, 00173 Rome, Italy., Dipartimento di Scienze e Tecnologie Chimiche, Università di Roma Tor Vergata, Via della Ricerca Scientifica, 00173 Rome, Italy., Laboratorio di Restauro, Istituto Centrale per il Restauro e la Conservazione del Patrimonio Archivistico e Librario (ICRCPAL), Via Milano 76, 00184 Rome, Italy., Laboratorio di Restauro, Istituto Centrale per il Restauro e la Conservazione del Patrimonio Archivistico e Librario (ICRCPAL), Via Milano 76, 00184 Rome, Italy., Dipartimento di Scienze e Tecnologie Chimiche, Università di Roma Tor Vergata, Via della Ricerca Scientifica, 00173 Rome, Italy."
Gender differences in approaches to self-management of poor sleep in later life.,"Susan Venn, Robert Meadows, Sara Arber","In this paper we seek to understand the influence of gender on the different approaches to managing poor sleep by older men and women through the conceptual framework of existing theoretical debates on medicalization, healthicization and 'personalization'. In-depth interviews undertaken between January and July 2008 with 62 people aged 65-95 who were experiencing poor sleep, revealed that the majority of older men and women resisted the medicalization of poor sleep, as they perceived sleep problems in later life were an inevitable consequence of ageing. However, older men and women engaged differently with the healthicization of poor sleep, with women far more likely than men to explore a range of alternative sleep remedies, such as herbal supplements, and were also much more likely than men to engage in behavioural practices to promote good sleep, and to avoid practices which prevented sleep. Women situated 'sleep' alongside more abstract discussions of 'diet' and health behaviours and drew on the discourses of the media, friends, family and their own experiences to create 'personalized' strategies, drawn from a paradigm of healthicization. Men, however, solely relied on the 'body' to indicate when sleep was needed and gauged their sleep needs largely by how they felt, and were able to function the following day.",2012-01-01,Social Science & Medicine (1982),no keywords,"aged, aged, 80 and over, aging, attitude to health, female, humans, male, medicalization, qualitative research, self care, sex factors, sleep wake disorders",10.1016/j.socscimed.2012.09.037,"Centre for Research on Ageing and Gender (CRAG), Department of Sociology, University of Surrey, Guildford GU2 7XH, UK. s.venn@surrey.ac.uk"
Tailoring controlled-release oral dosage forms by combining inkjet and flexographic printing techniques.,"Natalja Genina, Daniela Fors, Hossein Vakili, Petri Ihalainen, Leena Pohjala, Henrik Ehlers, Ivan Kassamakov, Edward Haeggström, Pia Vuorela, Jouko Peltonen, Niklas Sandler","We combined conventional inkjet printing technology with flexographic printing to fabricate drug delivery systems with accurate doses and tailored drug release. Riboflavin sodium phosphate (RSP) and propranolol hydrochloride (PH) were used as water-soluble model drugs. Three different paper substrates: A (uncoated woodfree paper), B (triple-coated inkjet paper) and C (double-coated sheet fed offset paper) were used as porous model carriers for drug delivery. Active pharmaceutical ingredient (API) containing solutions were printed onto 1 cm × 1 cm substrate areas using an inkjet printer. The printed APIs were coated with water insoluble polymeric films of different thickness using flexographic printing. All substrates were characterized with respect to wettability, surface roughness, air permeability, and cell toxicity. In addition, content uniformity and release profiles of the produced solid dosage forms before and after coating were studied. The substrates were nontoxic for the human cell line assayed. Substrate B was smoothest and least porous. The properties of substrates B and C were similar, whereas those of substrate A differed significantly from those of B, C. The release kinetics of both printed APIs was slowest from substrate B before and after coating with the water insoluble polymer film, following by substrate C, whereas substrate A showed the fastest release. The release rate decreased with increasing polymer coating film thickness. The printed solid dosage forms showed excellent content uniformity. So, combining the two printing technologies allowed fabricating controlled-release oral dosage forms that are challenging to produce using a single technique. The approach opens up new perspectives in the manufacture of flexible doses and tailored drug-delivery systems.",2012-01-01,European Journal Of Pharmaceutical Sciences : Official Journal Of The European Federation For Pharmaceutical Sciences,no keywords,"cell line, cell survival, delayed-action preparations, drug compounding, drug delivery systems, humans, paper, printing, propranolol, riboflavin, surface properties, viscosity",10.1016/j.ejps.2012.07.020,"Pharmaceutical Sciences Laboratory, Department of Biosciences, Abo Akademi University, Tykistökatu 6A, FI-20520 Turku, Finland. natalja.genina@abo.fi"
"Heroic struggles, criminals and scientific breakthroughs: ADHD and the medicalization of child behaviour in Australian newsprint media 1999-2009.","Valerie Harwood, Sandra Jones, Andrew Bonney, Samantha Mcmahon","There is a dearth of scholarly analysis and critique of the Australian newsprint media's role in the medicalization of child behaviour. To begin to redress this lack this paper analyses newsprint media's use of metaphors that re/describe and construct realities of ADHD with a medicalizing effect. The interdisciplinary team used the Factiva<sup>TM</sup> database to locate and review 453 articles published in Australian national and metropolitan newspapers during the decade 1999-2009. Data analysis involved generating statistical descriptions of the dataset according to attributes such as: date, state, newspaper titles and author names. This was followed by inductive analysis of article content. Content analysis revealed pervasive and striking use of metaphor in newsprint media reporting of ADHD content, especially when describing health professionals, educators, parents and children. This collection of metaphors was striking, and while the metaphors deployed were varied, this diversity seemed underscored by a common functionality that increased the risk that child behaviour was explained using medicalized knowledge. We contend that these metaphors collectively and coherently functioned to simplify and delimit meanings of children's health and behaviour to favour depictions that medicalize problems of children and childhood.",,International Journal Of Qualitative Studies On Health And Well-Being,"adhd, child behaviour, medicalization, metaphor, newsprint media","attention deficit disorder with hyperactivity, australia, child, child behavior, courage, criminals, humans, medicalization, newspapers as topic",1298262,"a School of Education , University of Wollongong , Wollongong , Australia., b Centre for Health and Social Research , Australian Catholic University , Melbourne , Australia., c School of Medicine , University of Wollongong , Wollongong , Australia., a School of Education , University of Wollongong , Wollongong , Australia."
"Medicalisation or customisation? Sleep, enterprise and enhancement in the 24/7 society.","Simon J Williams, Catherine M Coveney, Jonathan Gabe","This paper extends and problematises recent sociological research on the medicalisation of sleep, focussing on trends and transformations in the prospective 'customisation' of sleep in the 24/7 society. What exactly does customisation mean in this context; how does it relate to the medicalisation of sleep; and how salient or significant are these trends to date in the 24/7 society? These are the key questions this paper seeks to address, taking workplace napping and wakefulness promoting drugs amongst the 'healthy' as our comparative case studies. Both we argue, despite their apparent differences and embryonic status to date, provide alternative routes to broadly similar ends. Namely they customise our sleep patterns and practices to fit around the escalating temporal demands of daily life, thereby helping remedy the increasing misalignment between biological and social time. Each, moreover, seeks to improve or optimise safety, productivity and performance in late modern society, where alertness is prized, sleepiness is problematised and vigilance is valorised. The paper concludes with some further reflections on these matters, including relations between the biomedicalisation and the customisation of sleep and a research agenda on the biopolitics of sleep and wakefulness.",2012-01-01,Social Science & Medicine (1982),no keywords,"humans, medicalization, sleep, social conditions, united kingdom, workload",10.1016/j.socscimed.2012.07.017,"Department of Sociology, University of Warwick, Coventry CV4 7AL, UK. s.j.williams@warwick.ac.uk"
Quantitative analysis of therapeutic drugs in dried blood spot samples by paper spray mass spectrometry: an avenue to therapeutic drug monitoring.,"Nicholas Edward Manicke, Paul Abu-Rabie, Neil Spooner, Zheng Ouyang, R Graham Cooks","A method is presented for the direct quantitative analysis of therapeutic drugs from dried blood spot samples by mass spectrometry. The method, paper spray mass spectrometry, generates gas phase ions directly from the blood card paper used to store dried blood samples without the need for complex sample preparation and separation; the entire time for preparation and analysis of blood samples is around 30 s. Limits of detection were investigated for a chemically diverse set of some 15 therapeutic drugs; hydrophobic and weakly basic drugs, such as sunitinib, citalopram, and verapamil, were found to be routinely detectable at approximately 1 ng/mL. Samples were prepared by addition of the drug to whole blood. Drug concentrations were measured quantitatively over several orders of magnitude, with accuracies within 10% of the expected value and relative standard deviation (RSD) of around 10% by prespotting an internal standard solution onto the paper prior to application of the blood sample. We have demonstrated that paper spray mass spectrometry can be used to quantitatively measure drug concentrations over the entire therapeutic range for a wide variety of drugs. The high quality analytical data obtained indicate that the technique may be a viable option for therapeutic drug monitoring.",2011-01-01,Journal Of The American Society For Mass Spectrometry,no keywords,"animals, blood specimen collection, calibration, cattle, drug monitoring, humans, least-squares analysis, mass spectrometry, paper, pharmaceutical preparations, reproducibility of results, sensitivity and specificity",10.1007/s13361-011-0177-x,"Department of Chemistry, Purdue University, West Lafayette, IN 47907, USA."
Rapid analysis of whole blood by paper spray mass spectrometry for point-of-care therapeutic drug monitoring.,"Ryan D Espy, Nicholas E Manicke, Zheng Ouyang, R Graham Cooks","Paper spray mass spectrometry is applied to oncology drugs in fresh whole blood samples supported on filter paper substrates instead of dry blood as done previously. Addition of the coagulant alum clotted the blood and allowed for immediate sample analysis. The coagulant did not interfere with the function of the paper spray nor did it add features to the mass spectra. Quantitative analysis of therapeutic drugs in the blood was achieved utilizing internal standards which were pre-spotted onto the filter paper. Eight oncology drugs were examined, with lower limits of detection ranging between 0.5 and 17 ng mL(-1) and linear dynamic ranges greater than two orders of magnitude. Inter-day accuracies of quality controls for pazopanib ranged from 102 to 118%, with imprecisions of 9 to 13%. This one-step method requires 10 μL of blood, a drop of solvent, and takes 45 seconds per trial. These results indicate applicability to point-of-care therapeutic drug monitoring in a clinical setting.",2012-01-01,The Analyst,no keywords,"humans, indazoles, mass spectrometry, paper, pharmaceutical preparations, point-of-care systems, pyrimidines, sulfonamides",10.1039/c2an35082c,"Department of Chemistry, Purdue University, West Lafayette, IN 47907, USA."
The medicalisation of health inequalities and the English NHS: the role of resource allocation.,"Sheena Asthana, Alex Gibson, Joyce Halliday","Tackling health inequalities (HI) has become a key policy objective in England in recent years. Yet, despite the wide-ranging policy response of the 1997-2010 Labour Government, socio-economic variations in health continued to widen. In this paper, we seek to explore why. We propose that a meta-narrative has emerged in which the health problems facing England's most deprived areas, and the solution to those problems, have increasingly come to be linked to levels of National Health Service (NHS) funding. This has been, in part, a response to key shortcomings in previous rounds of resource allocation. The very significant sums of money allocated with respect to 'health inequalities' reflects and reinforces the belief that the NHS can and should play a central role in promoting health equity. This medicalisation of HI focuses attention on the role of individual risk factors that lend themselves to medical management, but effectively sidelines the macroprocesses of social inequality, legitimising the kind of society that neo-liberal government has produced in the United Kingdom - one in which health (like other assets) has become a matter of individual and not collective responsibility.",2012-01-01,"Health Economics, Policy, And Law",no keywords,"england, health care rationing, health policy, health status disparities, humans, medicalization, resource allocation, state medicine",10.1017/S1744133112000126,"Faculty of Health, Education and Society, University of Plymouth, Plymouth, UK. sasthana@plymouth.ac.uk"
Integration of paper spray ionization high-field asymmetric waveform ion mobility spectrometry for forensic applications.,"Chia-Wei Tsai, Christopher A Tipple, Richard A Yost","Paper spray ionization (PSI) is an attractive ambient ionization source for mass spectrometry (MS) since it allows the combination of surface sampling and ionization. The minimal sample preparation inherent in this approach greatly reduces the time needed for analysis. However, the ions generated from interfering compounds in the sample and the paper substrate may interfere with the analyte ions. Therefore, the integration of PSI with high-field asymmetric ion mobility spectrometry (FAIMS) is of significant interest since it should reduce the background ions entering the mass analyzer without complicating the analysis or increasing analysis time. Here we demonstrate the integration of PSI with FAIMS/MS and its potential for analysis of samples of forensic interest.",,Rapid Communications In Mass Spectrometry : Rcm,no keywords,"chemical warfare agents, explosive agents, forensic sciences, illicit drugs, ion mobility spectrometry, mass spectrometry, paper, pentaerythritol tetranitrate, trinitrotoluene",10.1002/rcm.8068,"Department of Chemistry, University of Florida, Gainesville, FL, USA., Counterterrorism and Forensic Science Research Unit, Federal Bureau of Investigation Laboratory Division, Quantico, VA, USA., Department of Chemistry, University of Florida, Gainesville, FL, USA."
Determination of aerosol oxidative activity using silver nanoparticle aggregation on paper-based analytical devices.,"Wijitar Dungchai, Yupaporn Sameenoi, Orawon Chailapakul, John Volckens, Charles S Henry","Airborne particulate matter (PM) pollution significantly impacts human health, but the cellular mechanisms of PM-induced toxicity remain poorly understood. A leading hypothesis on the effects of inhaled PM involves the generation of cellular oxidative stress. To investigate PM-induced oxidative stress, analytical methods have been developed to study the chemical oxidation of dithiothreitol (DTT) in the presence of PM. Although DTT readily reacts with several forms of reactive oxygen species, this molecule is not endogenously produced in biological systems. Glutathione (GSH), on the other hand, is an endogenous antioxidant that is produced throughout the body and is directly involved in combating oxidative stress in the lungs and other tissues. We report here a new method for measuring aerosol oxidative activity that uses silver nanoparticle (AgNP) aggregation coupled to glutathione (GSH) oxidation in a paper-based analytical device. In this assay, the residual reduced GSH from the oxidation of reduced GSH to its disulfide induces the aggregation of AgNPs on a paper-based analytical device, which produces a reddish-brown product. Two methods for aerosol oxidative reactivity are presented: one based on change in color intensity using a traditional paper-based techniques and one based on the length of the color product formed using a distance-based device. These methods were validated against traditional spectroscopic assays for DTT and GSH that employ Elman's reagent. No significant difference was found between the levels measured by all three GSH methods (our two paper-based devices and the traditional method) at the 95% confidence level. PM reactivity towards GSH was less than towards DTT most likely due to the difference in the oxidation potential between the two molecules.",,The Analyst,no keywords,"aerosols, chemistry techniques, analytical, nanoparticles, oxidation-reduction, paper, silver",10.1039/c3an01235b,"Department of Chemistry, Faculty of Science, King Mongkut's University of Technology Thonburi, Prachautid Road, Thungkru, Bangkok, 10140, Thailand."
A novel use of Moringa oleifera seed powder in enhancing the primary treatment of paper mill effluent.,"Soumia Boulaadjoul, Hassiba Zemmouri, Zoubida Bendjama, Nadjib Drouiche","In this study, Moringa oleifera (M. oleifera) performance as an eco-friendly coagulant in the enhanced primary treatment of paper mill effluent was investigated. Its performance in terms of turbidity removal and COD abatement was examined. Local M. oleifera seed powder from ADRAR-city, South of Algeria, was used. Conventional jar tests were conducted for enhancing the primary treatment of paper mill effluent from paper factory. For this reason, comparative coagulation tests were performed using aluminum sulfate (alum). Indeed, in terms of turbidity abatement, 96.02% and 97.1% were obtained for Moringa and alum, respectively. However, in the case of COD abatement, the abatement rate of M. oleifera seeds was slightly higher than that of alum, 97.28% and 92.67%, respectively. Because M. oleifera is a natural resource that is locally available, an eco-friendly coagulant, non-toxic, and biodegradable and does not affect the pH of water; thus, its use allows to avoid numerous disadvantages of conventional coagulants like alum.",2018-01-01,Chemosphere,"alum, coagulation-flocculation, m. oleifera, paper mill effluent, primary treatment","industrial waste, moringa oleifera, paper, plant extracts, powders",10.1016/j.chemosphere.2018.04.123,"Laboratoire des Sciences et de Genie des Procédés Industriels, Faculté de Génie Mécanique et de Génie des Procédés, (USTHB), BP 32, 16111 Algiers, Algeria., Laboratoire des Sciences et de Genie des Procédés Industriels, Faculté de Génie Mécanique et de Génie des Procédés, (USTHB), BP 32, 16111 Algiers, Algeria. Electronic address: hassiba_zemmouri@yahoo.fr., Laboratoire des Sciences et de Genie des Procédés Industriels, Faculté de Génie Mécanique et de Génie des Procédés, (USTHB), BP 32, 16111 Algiers, Algeria., Centre de Recherche en Technologie des Semi-conducteurs pour l'Energétique, 2, Bd Frantz Fanon BP140 Alger-7-merveilles, 16038 Alger, Algeria. Electronic address: nadjibdrouiche@yahoo.fr."
"Health attitudes, health cognitions, and health behaviors among Internet health information seekers: population-based survey.",Mohan J Dutta-Bergman,"Using a functional theory of media use, this paper examines the process of health-information seeking in different domains of Internet use.",2004-01-01,Journal Of Medical Internet Research,no keywords,"age factors, attitude to computers, attitude to health, contraindications, health behavior, humans, information services, internet, life style, pharmaceutical preparations, sex factors",e15,"Department of Communication, Purdue University, 2477 Musket Way, West Lafayette, IN 47906, USA. mdutta-bergman@sla.purdue.edu"
The application of silicon sol-gel technology to forensic blood substitute development: Investigation of the spreading dynamics onto a paper surface.,"Theresa Stotesbury, Mike Illes, Paul Wilson, Andrew J Vreugdenhil","This work investigates the spreading dynamics of three candidate sol-gel solutions, of ranging viscosities, surface tensions and densities, and compares them with water and two commercial blood substitute products. Droplets were created with different sizes (10 to75μL) and impact velocities (1.4 to 6.0m/s) to strike 176gsm cardstock. Over 2200 droplets were created using the six different fluids and their final dried stain diameter was measured. Droplet spread was plotted using the Scheller and Bousfield correlation and uses effective viscosity as a parameter for non-Newtonian fluids. Comparing the results to an expected whole human blood range validated the spread of the candidate FBS sol-gel material in passive drip bloodstain pattern simulation. These findings complement the practical application of the material as a safe substitute for demonstrating droplet spread under controlled conditions on hard paper surfaces.",2017-01-01,Forensic Science International,"bloodstain pattern analysis, forensic blood substitutes, passive drip stain, silicon sol–gels, spreading, thin films","blood stains, blood substitutes, forensic sciences, gels, humans, models, biological, paper, silicon, surface tension, viscosity",10.1016/j.forsciint.2017.03.020,"Materials Science Program, Trent University, 1600 West Bank Drive, Peterborough, Ontario, K9J 0G2, Canada., Forensic Science Department, Trent University, 1600 West Bank Drive, Peterborough, Ontario, K9J 0G2, Canada., Biology Department, Trent University, 1600 West Bank Drive, Peterborough, Ontario, K9J 0G2, Canada., Materials Science Program, Trent University, 1600 West Bank Drive, Peterborough, Ontario, K9J 0G2, Canada; Chemistry Department, Trent University, 1600 West Bank Drive, Peterborough, Ontario, K9J 0G2, Canada. Electronic address: avreugdenhil@trentu.ca."
"Discontinued drug in 2007: renal, endocrine and metabolic drugs.",Jerry R Colca,"This perspective is the first part of an annual series of papers discussing drugs dropped from clinical development in the previous year. Specifically, this paper focuses on the 14 renal, endocrine and metabolic drugs discontinued in 2007. The candidates covered in this summary were being developed for treatment of diabetes, obesity, reproductive and urogenital health issues, and growth hormone deficiency. Information for this perspective was derived from a search of the Pharmaprojects database for drugs discontinued after reaching Phase I - III clinical trials.",,Expert Opinion On Investigational Drugs,no keywords,"clinical trials as topic, databases, factual, drug evaluation, endocrine system, humans, kidney, metabolism, pharmaceutical preparations, reproducibility of results, time factors",10.1517/13543784.17.11.1641,"Metabolic Diseases Development Company, Kalamazoo, MI 49007, USA. jrcolca@msdrx.com"
Paper spray and extraction spray mass spectrometry for the direct and simultaneous quantification of eight drugs of abuse in whole blood.,"Ryan D Espy, Sebastiaan Frans Teunissen, Nicholas E Manicke, Yue Ren, Zheng Ouyang, Arian Van Asten, R Graham Cooks","Determination of eight drugs of abuse in blood has been performed using paper spray or extraction spray mass spectrometry in under 2 min with minimal sample preparation. A method has been optimized for quantification of amphetamine, methamphetamine, 3,4-methylenedioxyamphetamine (MDA), 3,4-methylenedioxy-N-methylamphetamine (MDMA), 3,4-methylenedioxy-N-ethylamphetamine (MDEA), morphine, cocaine, and Δ9-tetrahydrocannabinol (THC) from a single blood spot. Sample to sample variations of 1-5% relative standard deviation were achieved using stable isotope-labeled internal standards and tandem mass spectrometry. Limits of detection for all drugs were below typical physiological and toxicological levels. Paper spray and extraction spray each used less than 10 μL of whole blood. These methods exhibit the potential for performing rapid and high-throughput assays for selective on-site multicompound quantitative screening of illicit drugs.",2014-01-01,Analytical Chemistry,no keywords,"humans, illicit drugs, limit of detection, mass spectrometry, paper",10.1021/ac5016408,"Department of Chemistry and Center for Analytical Instrumentation, Purdue University , West Lafayette, Indiana 47907, United States."
Hydrophobization and antimicrobial activity of chitosan and paper-based packaging material.,"Nicolas Bordenave, Stephane Grelier, Veronique Coma","This study reports the elaboration of water-resistant, antimicrobial, chitosan and paper-based materials as environmentally friendly food packaging materials. Two types of papers were coated with chitosan-palmitic acid emulsions or with a blend of chitosan and O,O'-dipalmitoylchitosan (DPCT). Micromorphology studies showed that inclusion of hydrophobic compounds into the chitosan matrix was enhanced by grafting them onto chitosan and that this led to their penetration of the paper's core. Compared to chitosan-coated papers, the coating of chitosan-palmitic emulsion kept vapor-barrier properties unchanged (239 and 170 g.m(-2).d(-1) versus 241 and 161 g.m(-2).d(-1)), while the coating of chitosan-DPCT emulsion dramatically deteriorated them (441 and 442 g.m(-2).d(-1)). However, contact angle measurements (110-120 degrees after 1 min) and penetration dynamics analysis showed that both strategies improved liquid-water resistance of the materials. Kit-test showed that all hydrophobized chitosan-coated papers kept good grease barrier properties (degree of resistance 6-8/12). Finally, all chitosan-coated materials exhibited over 98% inhibition on Salmonella Typhimurium and Listeria monocytogenes .",,Biomacromolecules,no keywords,"anti-bacterial agents, chitosan, colony count, microbial, emulsions, food packaging, hydrophobic and hydrophilic interactions, listeria monocytogenes, paper, spectroscopy, fourier transform infrared, staphylococcus aureus",10.1021/bm9009528,"Universite Bordeaux 1, INRA, CNRS, UMR 5103 US2B, 351 cours de la Liberation, F-33405 Talence, France."
Utilization of calcium carbonate particles from eggshell waste as coating pigments for ink-jet printing paper.,"Sukjoon Yoo, Jeffery S Hsieh, Peter Zou, John Kokoszka","The effective treatment and utilization of biowaste have been emphasized in our society for environmental and economic concerns. Recently, the eggshell waste in the poultry industry has been highlighted because of its reclamation potential. This study presents an economical treatment process to recover useful bioproducts from eggshell waste and their utilization in commercial products. We developed the dissolved air floatation (DAF) separation unit, which successfully recovered 96% of eggshell membrane and 99% of eggshell calcium carbonate (ECC) particles from eggshell waste within 2 h of operation. The recovered ECC particles were utilized as coating pigments for ink-jet printing paper and their impact on the ink density and paper gloss were investigated. The addition of the ECC particles as coating pigments enhances the optical density of cyan, magenta and yellow inks while decreasing the black ink density and the gloss of the coated paper.",2009-01-01,Bioresource Technology,no keywords,"animals, calcium carbonate, copying processes, egg shell, ink, paper, particulate matter, pigments, biological, powders, solutions, spectrophotometry, infrared, thermogravimetry, waste products",10.1016/j.biortech.2009.06.112,"School of Chemical and Biomolecular Engineering, Georgia Institute of Technology, 311 Ferst Drive, Atlanta, GA 30332-0100, United States."
Determination of color developers replacing bisphenol A in thermal paper receipts using diode array and Corona charged aerosol detection-A German market analysis 2018/2019.,"Martin Eckardt, Marie Kubicova, Duyen Tong, Thomas J Simat","Thermal papers (e.g. point of sale receipts, adhesive labels, tickets) significantly contribute to contamination of paper material cycles and the environment with substances of (eco-) toxicological concern. In particular, they contain color developers like endocrine disrupting bisphenols in typical concentrations of about 1-2 percent per weight (wt%). Bisphenol A (BPA) was used as the common color developer over the last decades, but it will be restricted for thermal paper application in the European Union to a limit of 0.02 wt% from 2020 onwards. Consequently, a variety of BPA substituents such as bisphenol S (BPS) and its derivatives gain importance in thermal paper application. In this study, a rapid, reliable and cost-effective method for identification and quantification of BPA, alternative color developers and related substances like sensitizers is presented based on HPLC separation coupled with diode array detection (DAD) and Corona charged aerosol detection (CAD). Quantification was performed with regard to the intended use of the substances in thermal papers. Besides traditional UV external calibration using reference standards, alternative quantification approaches, in particular UV chromophore concentration for BPS derivatives and CAD universal response technique for low-volatile color developers, were applied and compared in order to allow quantification without reference substances. A market analysis for intended used color developers and sensitizers was performed on thermal paper samples (n = 211) collected in Germany during 2018 and 2019. Pergafast 201 (in 41.7% of the samples) was the most common color developer with concentrations above 0.02 wt%, followed by BPA (36.0%), BPS (13.3%) and other BPS derivatives known as D8, D-90, BPS-MAE and TGSA, that are mainly present in adhesive labels. Sensitizers were determined in over 90% of the samples.",2019-01-01,Journal Of Chromatography. A,"bisphenol a (bpa), bisphenol s (bps), chromophore concentration, corona charged aerosol detector (cad), pergafast 201, thermal paper color developers","aerosols, benzhydryl compounds, calibration, chromatography, high pressure liquid, chromatography, reverse-phase, color, endocrine disruptors, european union, germany, limit of detection, linear models, marketing, paper, phenols, reference standards, sulfones, temperature",10.1016/j.chroma.2019.460437,"Chair for Food Chemistry and Food and Skin Contact Materials, Technische Universität Dresden, Dresden, Germany. Electronic address: martin.eckardt@chemie.tu-dresden.de., Chair for Food Chemistry and Food and Skin Contact Materials, Technische Universität Dresden, Dresden, Germany., Chair for Food Chemistry and Food and Skin Contact Materials, Technische Universität Dresden, Dresden, Germany., Chair for Food Chemistry and Food and Skin Contact Materials, Technische Universität Dresden, Dresden, Germany. Electronic address: thomas.simat@tu-dresden.de."
