ID,Title,Abstract,Keywords,Journal,processed_text
315,The detection of NBOMe designer drugs on blotter paper by high resolution time-of-flight mass spectrometry (TOFMS) with and without chromatography.,"New psychoactive substances (NPS) have been associated with fatalities and severe injuries in a number of cases in the United States and have led investigators to rethink traditional drug monitoring protocols. Of particular interest are the variable phenethylamine chemical structures known as 'NBOMes', which pose an emerging threat to public health with incidence steadily growing over the past decade. In this study, direct sample analysis (DSA)-time of flight mass spectrometry was employed to leverage rapid and sensitive ambient ionization mass spectrometry without chromatographic separation as verified with an authentic case sample. Samples for method development were prepared at Boston University School of Medicine's Biomedical Forensic Sciences program (Boston, MA) and analyzed at the State of Maine Health and Environmental Testing Laboratory's Forensic Chemistry Section (Augusta, ME). Preliminary method development work was performed at the University of Central Florida (Orlando, FL). DSA without any extraction step in addition to the evaluation of methanol, dichloromethane and hexane extractions were conducted. Methanol was found to not be a suitable extraction solvent for DSA analysis of these compounds. For the screening of NBOMe designer drug variables on blotter paper, DSA-TOFMS was successful at reducing analysis time to ∼15s per sample, for qualitative identification for the selected analytes of interest. The analysis of an authentic forensic case sample by DSA-TOFMS using the method development parameters demonstrates its utility in forensic laboratories. 25C-NBOMe was identified with an exact mass accuracy of 0.60ppm.","dimethoxyphenyl-n-[(2-methoxyphenyl)methyl]ethanamine, direct sample analysis, nbome(s), new psychoactive substances, time-of-flight mass spectrometry",Forensic Science International,new psychoact substanc np associ fatal sever injuri number case unit state led investig rethink tradit drug monitor protocol particular interest variabl phenethylamin chemic structur known pose emerg threat public health incid steadili grow past decad studi direct sampl analysi dsa flight mass spectrometri employ leverag rapid sensit ambient ioniz mass spectrometri without chromatograph separ verifi authent case sampl sampl method develop prepar boston univers school medicin biomed forens scienc program boston analyz state main health environment test laboratori forens chemistri section augusta preliminari method develop work perform univers central florida orlando fl dsa without extract step addit evalu methanol dichloromethan hexan extract conduct methanol found suitabl extract solvent dsa analysi compound screen nbome design drug variabl blotter paper success reduc analysi time per sampl qualit identif select analyt interest analysi authent forens case sampl use method develop paramet demonstr util forens laboratori identifi exact mass accuraci detect nbome design drug blotter paper high resolut mass spectrometri tofm without chromatographi
316,Vegetal fiber paper matrix impregnated with silica gel for benzene removal.,"Removing benzene from indoor space plays an important role in indoor air purification. A novel filter with vegetal fiber paper (VFP) as matrix hosting silica gel is proposed in this paper for benzene removal. In order to investigate the feasibility and performance of this idea, firstly, three pieces of VFP samples impregnated with different amounts of silica gel are fabricated and their benzene adsorption quantities are tested. The results show that three times is recommended as the optimal number for impregnating. The VFP sample impregnated with silica gel after the third impregnating exhibits commendable coating stability and good benzene adsorption performance. Additionally, at low relative pressure (P<sub>b</sub> /P<sub>s</sub>  ≤ 0.05), the experimental data of benzene adsorption isotherms fit well with the Langmuir model with R<sup>2</sup> greater than 0.97. Then, two actual filters made of VFP impregnated with silica gel after the third impregnating were fabricated. It is found that the pressure drop of the actual filter is only 1200 Pa/m when the air velocity is 2 m/s. Besides, the one-pass efficiency of the filter can reach to 19.44%. It is expected that the silica gel coated on the filter can be modified to improve the purification performance of the filter.","adsorption performance, benzene, filter, pressure drop, purification, silica gel",Indoor Air,remov benzen indoor space play import role indoor air purif novel filter veget fiber paper vfp matrix host silica gel propos paper benzen remov order investig feasibl perform idea firstli three piec vfp sampl impregn differ amount silica gel fabric benzen adsorpt quantiti test result show three time recommend optim number impregn vfp sampl impregn silica gel third impregn exhibit commend coat stabil good benzen adsorpt perform addit low rel pressur p sub b sub experiment data benzen adsorpt isotherm fit well langmuir model r sup greater two actual filter made vfp impregn silica gel third impregn fabric found pressur drop actual filter air veloc besid effici filter reach expect silica gel coat filter modifi improv purif perform filter veget fiber paper matrix impregn silica gel benzen remov
317,Aiming for a moving target: challenges with impactor measurements of MDI aerosols.,"Experiments were conducted to illustrate some of the challenges associated with measuring dynamic MDI aerosols. Experimental HFA-134a solution MDIs containing 8 or 20% ethanol were measured using the Andersen cascade impactor using three different inlets. It was demonstrated that the size distribution of MDI aerosols changes substantially during the measurement process. The measured size distribution was shown to be dependent on the degree of evaporation that has occurred prior to size measurement. Additionally, the degree of evaporation prior to measurement also influences the number of modes present in the measured size distribution. While MDI aerosols appeared to have a separate large particle mode when measured using the U.S. Pharmacopeial induction port (""USP inlet""; [U.S. Pharmacopeia, 1996. Physical tests and determinations <601> aerosols, metered dose inhalers, and dry powders. Pharmacopeial Forum 22, pp. 3065-3095]), the aerosols were shown to be monomodal when measured using a large volume inlet. The apparent large particle mode observed with the USP inlet seem rather to be droplets from the same monomodal distribution that have not fully evaporated. The complex interaction of the MDI plume and inlet configuration was described. Inlet design was shown to influence inlet deposition, measured particle size, and even deposition in the actuator mouthpiece. Inlet deposition was shown to be highly size-dependent with large droplets being collected more efficiently than smaller droplets.",no keywords,International Journal Of Pharmaceutics,experi conduct illustr challeng associ measur dynam mdi aerosol experiment solut mdi contain ethanol measur use andersen cascad impactor use three differ inlet demonstr size distribut mdi aerosol chang substanti measur process measur size distribut shown depend degre evapor occur prior size measur addit degre evapor prior measur also influenc number mode present measur size distribut mdi aerosol appear separ larg particl mode measur use pharmacopei induct port usp inlet pharmacopeia physic test determin aerosol meter dose inhal dri powder pharmacopei forum pp aerosol shown monomod measur use larg volum inlet appar larg particl mode observ usp inlet seem rather droplet monomod distribut fulli evapor complex interact mdi plume inlet configur describ inlet design shown influenc inlet deposit measur particl size even deposit actuat mouthpiec inlet deposit shown highli larg droplet collect effici smaller droplet aim move target challeng impactor measur mdi aerosol
318,Determination of Cr(VI) concentration in diluted samples based on the paper test strip method.,"At present, there are many methods for Cr(VI) concentration determination in diluted samples, however, these methods have their own inherent drawbacks, such as long response time, complicated pretreatment, expensive equipment etc. In this paper, a paper-based test strip method specific for determination of diluted Cr(VI) samples was developed. In this method, Aliquat 336, as an anion exchanger was loaded into filter paper to form a test strip. This test strip was used to pre-concentrate Cr(VI) when contacting with the diluted Cr(VI)-containing solution. The Cr(VI)-containing test strip was then immersed into a diphenylcarbazide (DPC) solution (a color forming solution), and the color intensity was correlated to the Cr(VI) concentration. The detection range of the present method was found to be 0.02-1.50 mg/L. The results also showed that the method gave a high selectivity for Cr(VI) in the diluted samples to be tested. The method was applied to synthesized samples and the results, which were compared to those from a reference method, showed that the developed method is an effective, reliable way for Cr(VI) determination in diluted samples.",no keywords,Water Science And Technology : A Journal Of The International Association On Water Pollution Research,present mani method cr vi concentr determin dilut sampl howev method inher drawback long respons time complic pretreat expens equip etc paper test strip method specif determin dilut cr vi sampl develop method aliquat anion exchang load filter paper form test strip test strip use cr vi contact dilut cr vi solut cr vi test strip immers diphenylcarbazid dpc solut color form solut color intens correl cr vi concentr detect rang present method found result also show method gave high select cr vi dilut sampl test method appli synthes sampl result compar refer method show develop method effect reliabl way cr vi determin dilut sampl determin cr vi concentr dilut sampl base paper test strip method
319,Pricing of multiple dosage prescription medications: an analysis of the Ontario Drug Benefit Formulary.,"This paper investigates the pricing strategy (perfect flat pricing, perfect monotonic pricing, intermediate) used for multiple dosage medications listed in the Ontario Drug Benefit Formulary.",no keywords,"Health Policy (Amsterdam, Netherlands)",paper investig price strategi perfect flat price perfect monoton price intermedi use multipl dosag medic list ontario drug benefit formulari price multipl dosag prescript medic analysi ontario drug benefit formulari
320,'Learning disabilities' as a 'black box': on the different conceptions and constructions of a popular clinical entity in Israel.,"This article aims to stimulate new thinking about learning disabilities than is customary in local literature. Previous educational and psychological studies concerning learning disabilities regarded them as if they were objective categories with formal definitions and criteria accepted in scholarly literature. Contrary to that, this article explores the various conceptions, constructions, and meanings of learning disabilities that comprise the narrative descriptions and explanations of didactic diagnosticians. For this purpose, 50 in-depth interviews were conducted. There are four sections. Part One lays out the theoretical and methodological background of the sociological and discursive debate about learning disabilities. Part Two explores the various main thematic aspects and narrative strategies that were used by the diagnosticians in their construction of their purportedly 'objective', 'a-historical', 'a-political' experts' narrative. The third part reveals the polyphonic multifaceted nature of the learning disabilities construct. The experts' narrative undermines the objective and homogeneous definitions in the literature by uncovering learning disabilities' heterogeneous meaning repertoire. This repertoire consists, among others, of conceptualizing disability as a 'disease', a 'symptom', a 'genetic defect', a 'disorder', an 'educational difficulty', a 'variance', and even a 'gift'. This part also reveals the experts' narrative reaction strategies to the aforementioned polyphonic spectacle. It is revealed that the interviewees' narrative deconstructs the 'scientific factual nature' of the clinical categories. The fourth part highlights a central paradox in the expert narrative: The tension between the narrative stigmatic-labeling aspects and the destigmatic-'liberating' aspects. The claim is made that this tension can partly explain the current popularity of the LD diagnosis. This article is the third in a series of papers that seeks to contribute to the creation of a more nuanced disability discourse by exposing its shaky scientific foundations.",no keywords,"Culture, Medicine And Psychiatry",articl aim stimul new think learn disabl customari local literatur previou educ psycholog studi concern learn disabl regard object categori formal definit criterion accept scholarli literatur contrari articl explor variou concept construct mean learn disabl compris narr descript explan didact diagnostician purpos interview conduct four section part one lay theoret methodolog background sociolog discurs debat learn disabl part two explor variou main themat aspect narr strategi use diagnostician construct purportedli expert narr third part reveal polyphon multifacet natur learn disabl construct expert narr undermin object homogen definit literatur uncov learn disabl heterogen mean repertoir repertoir consist among other conceptu disabl defect difficulti even part also reveal expert narr reaction strategi aforement polyphon spectacl reveal interviewe narr deconstruct factual natur clinic categori fourth part highlight central paradox expert narr tension narr aspect aspect claim made tension partli explain current popular ld diagnosi articl third seri paper seek contribut creation nuanc disabl discours expo shaki scientif foundat disabl box differ concept construct popular clinic entiti israel
321,Protein precipitation coupled to paper spray with a tube for one-step analysis of blood.,"Accurate measurement of trace compounds in blood samples is important in clinical diagnosis and life science. Ambient ionization mass spectrometry, however, suffers from the matrix effect when dealing with complex samples such as blood. Therefore, it is important to reduce the matrix effects in blood samples.",no keywords,Rapid Communications In Mass Spectrometry : Rcm,accur measur trace compound blood sampl import clinic diagnosi life scienc ambient ioniz mass spectrometri howev suffer matrix effect deal complex sampl blood therefor import reduc matrix effect blood sampl protein precipit coupl paper spray tube analysi blood
322,Using Adhesive Patterning to Construct 3D Paper Microfluidic Devices.,"We demonstrate the use of patterned aerosol adhesives to construct both planar and nonplanar 3D paper microfluidic devices. By spraying an aerosol adhesive through a metal stencil, the overall amount of adhesive used in assembling paper microfluidic devices can be significantly reduced. We show on a simple 4-layer planar paper microfluidic device that the optimal adhesive application technique and device construction style depends heavily on desired performance characteristics. By moderately increasing the overall area of a device, it is possible to dramatically decrease the wicking time and increase device success rates while also reducing the amount of adhesive required to keep the device together. Such adhesive application also causes the adhesive to form semi-permanent bonds instead of permanent bonds between paper layers, enabling single-use devices to be non-destructively disassembled after use. Nonplanar 3D origami devices also benefit from the semi-permanent bonds during folding, as it reduces the likelihood that unrelated faces may accidently stick together. Like planar devices, nonplanar structures see reduced wicking times with patterned adhesive application vs uniformly applied adhesive.",no keywords,Journal Of Visualized Experiments : Jove,demonstr use pattern aerosol adhes construct planar nonplanar paper microfluid devic spray aerosol adhes metal stencil overal amount adhes use assembl paper microfluid devic significantli reduc show simpl planar paper microfluid devic optim adhes applic techniqu devic construct style depend heavili desir perform characterist moder increas overal area devic possibl dramat decreas wick time increas devic success rate also reduc amount adhes requir keep devic togeth adhes applic also caus adhes form bond instead perman bond paper layer enabl devic disassembl use nonplanar origami devic also benefit bond fold reduc likelihood unrel face may accid stick togeth like planar devic nonplanar structur see reduc wick time pattern adhes applic v uniformli appli adhes use adhes pattern construct paper microfluid devic
323,Coupling frontal elution paper chromatography with desorption corona beam ionization mass spectrometry for rapid analysis of chlorphenamine in herbal medicines and dietary supplements.,"We developed a convenient method by coupling frontal elution paper chromatography with desorption corona beam ionization mass spectrometry (DCBI-MS) for rapid determination of chlorphenamine added in herbal medicines or dietary supplements. In this method, the ethanol extract of the herbal products was spotted directly onto an isosceles triangular filter paper sheet, and then the paper sheet was developed under strong elution condition with the sample zone migrating at the solvent front. The analyte was finally condensed at the V-shaped tip which could then be placed under the visible plasma beam of DCBI for ionization. The overall procedure took less than 5 min. The frontal elution paper chromatography on a triangular plate used in this work improved the signal intensity of chlorphenamine by 30-fold due to the analyte condensing at the tip and the reduction of the background suppression. Furthermore, the paper sheet also functioned as a filter in the analysis of solid or powder samples, which can increase the analytical throughput by omitting the step of centrifugation. The proposed method in current study was successfully applied in the determination of chlorphenamine in herbal medicines. Chlorphenamine was detected in four of the twelve types of herbal medicines examined in this study. The limit of detection was 200 ng/mL (2.0 ng absolute) in full-scan positive-ion mode and the linear range was from 5.0 μg/mL to 50 μg/mL with satisfactory linear coefficient (R(2) (the square of the correlation coefficient)=0.895). Good reproducibility was achieved with relative standard deviations (RSDs) less than 15.0% and the recoveries of chlorphenamine ranged from 84.3 to 90.6%.",no keywords,Journal Of Chromatography. A,develop conveni method coupl frontal elut paper chromatographi desorpt corona beam ioniz mass spectrometri rapid determin chlorphenamin ad herbal medicin dietari supplement method ethanol extract herbal product spot directli onto isoscel triangular filter paper sheet paper sheet develop strong elut condit sampl zone migrat solvent front analyt final condens tip could place visibl plasma beam dcbi ioniz overal procedur took less min frontal elut paper chromatographi triangular plate use work improv signal intens chlorphenamin due analyt condens tip reduct background suppress furthermor paper sheet also function filter analysi solid powder sampl increas analyt throughput omit step centrifug propos method current studi success appli determin chlorphenamin herbal medicin chlorphenamin detect four twelv type herbal medicin examin studi limit detect ng absolut mode linear rang satisfactori linear coeffici r squar correl coeffici good reproduc achiev rel standard deviat rsd less recoveri chlorphenamin rang coupl frontal elut paper chromatographi desorpt corona beam ioniz mass spectrometri rapid analysi chlorphenamin herbal medicin dietari supplement
324,[The frontiers of medicalization: tensions surrounding the identification and appreciation of child malnutrition in a primary healthcare center of the city of Buenos Aires].,"The medicalization of life and its implications for the production of subjectivities are phenomena that have been highlighted by the human sciences in the study of health and disease. Nevertheless, the analysis of its local expressions has been insufficiently covered. The scope of this paper is to explore this field by an ethnographical study of the medicalization process of child malnutrition in a primary healthcare center of the city of Buenos Aires. We will describe analytically the singularities involved in the body perception and the alimentary context by health professionals and their patients. We emphasize that the criteria of perception and moral values that encourage social positions of health professionals and recipients of their actions precluded the institutionalization of a medical vision. We conclude that the process analyzed highlights the need to exceed the medicalization approaches dealing exclusively from the angle of imposition. The social history of the groups involved and ways of establishing relationships in local settings, are essential to understand the peculiarities of these processes.",no keywords,Ciencia & Saude Coletiva,medic life implic product subject phenomenon highlight human scienc studi health diseas nevertheless analysi local express insuffici cover scope paper explor field ethnograph studi medic process child malnutrit primari healthcar center citi bueno air describ analyt singular involv bodi percept alimentari context health profession patient emphas criterion percept moral valu encourag social posit health profession recipi action preclud institution medic vision conclud process analyz highlight need exceed medic approach deal exclus angl imposit social histori group involv way establish relationship local set essenti understand peculiar process frontier medic tension surround identif appreci child malnutrit primari healthcar center citi bueno air
325,Color and texture morphing with colloids on multilayered surfaces.,"Dynamic morphing of marine species to match with environment changes in color and texture is an advanced means for surviving, self-defense, and reproduction. Here we use colloids that are placed inside a multilayered structure to demonstrate color and texture morphing. The multilayer is composed of a thermal insulating base layer, a light absorbing mid layer, and a liquid top layer. When external light of moderate intensity (∼0.2 W cm(-2)) strikes the structure, colloids inside the liquid layer will be assembled to locations with an optimal absorption. When this system is exposed to continuous laser pulses, more than 18,000 times of reversible responses are recorded, where the system requests 20 ms to start the response and another 160 ms to complete. The flexibility of our concept further allows the system to be built on a variety of light-absorbing substrates, including dyed paper, gold thin film, and amorphous silicon, with the top layer even a solid.","colloidal assembly, morphing, photothermal effect, surface tension",Acs Applied Materials & Interfaces,dynam morph marin speci match environ chang color textur advanc mean surviv reproduct use colloid place insid multilay structur demonstr color textur morph multilay compos thermal insul base layer light absorb mid layer liquid top layer extern light moder intens w cm strike structur colloid insid liquid layer assembl locat optim absorpt system expo continu laser pul time revers respons record system request m start respons anoth m complet flexibl concept allow system built varieti substrat includ dy paper gold thin film amorph silicon top layer even solid color textur morph colloid multilay surfac
326,Knowledge-based analysis of multi-potent G-protein coupled receptors ligands.,"A large number of chemical structures that interact with G-protein coupled receptors (GPCRs) have been disclosed in patents or published papers. Most of these compounds are selective for a given protein target; however, it is well recognized that some GPCR-drugs interact with multiple targets. Using a literature database, we have identified compounds that act on different GPCRs. These protein targets are usually divided in three main classes, A, B and C, based on sequence similarity, but they can also be grouped pharmacologically based on endogenous ligand characteristics. In this paper, we specifically focus on compounds able to recognize two different classes or different pharmacological clusters within the same class. Despite the large number of GPCR ligands described in the literature, we identified a limited number of molecules acting on both classes A and B, only few acting on classes A and C and none acting on class B and C receptors. A search for bi- or multi-potent compounds exhibiting activities on different pharmacological clusters of class A receptors revealed cases of cross reactivity, the most frequent concerning amine and peptide receptor clusters.",no keywords,European Journal Of Medicinal Chemistry,larg number chemic structur interact coupl receptor gpcr disclos patent publish paper compound select given protein target howev well recogn interact multipl target use literatur databas identifi compound act differ gpcr protein target usual divid three main class b c base sequenc similar also group pharmacolog base endogen ligand characterist paper specif focu compound abl recogn two differ class differ pharmacolog cluster within class despit larg number gpcr ligand describ literatur identifi limit number molecul act class b act class c none act class b c receptor search compound exhibit activ differ pharmacolog cluster class receptor reveal case cross reactiv frequent concern amin peptid receptor cluster analysi coupl receptor ligand
327,An adsorbent with a high adsorption capacity obtained from the cellulose sludge of industrial residues.,"One of the major problems in effluent treatment plants of the cellulose and paper industry is the large amount of residual sludge generated. Therefore, this industry is trying to develop new methods to treat such residues and to use them as new products, such as adsorbents. In this regard, the objective of this work was to develop an adsorbent using the raw activated sludge generated by the cellulose and paper industry. The activated cellulose sludge, after being dried, was chemically activated with 42.5% (v/v) phosphoric acid at 85 °C for 1 h and was charred at 500 °C, 600 °C and 700 °C for 2 h. The efficiency of the obtained adsorbent materials was evaluated using kinetic tests with methylene blue solutions. Using the adsorption kinetics, it was verified that the three adsorbents showed the capacity to adsorb dye, and the adsorbent obtained at a temperature of 600 °C showed the highest adsorption capacity of 107.1 mg g<sup>-1</sup>. The kinetic model that best fit the experimental data was pseudo-second order. The Langmuir-Freudlich isotherm adequately described the experimental data. As a result, the cellulose sludge generated by the cellulose and paper industries could be used as an adsorbent.","cellulose residues, coal adsorbent, coal from cellulose sludge, coal from residues",Chemosphere,one major problem effluent treatment plant cellulos paper industri larg amount residu sludg gener therefor industri tri develop new method treat residu use new product adsorb regard object work develop adsorb use raw activ sludg gener cellulos paper industri activ cellulos sludg dri chemic activ phosphor acid h char effici obtain adsorb materi evalu use kinet test methylen blue solut use adsorpt kinet verifi three adsorb show capac adsorb dye adsorb obtain temperatur show highest adsorpt capac mg g sup kinet model best fit experiment data order isotherm adequ describ experiment data result cellulos sludg gener cellulos paper industri could use adsorb adsorb high adsorpt capac obtain cellulos sludg industri residu
328,Factors associated with the use of electronic information systems for drug dispensing and medication administration records in nursing homes.,Nursing homes (NHs) provide complex care for individuals with comorbidity who rely on multiple medications. Electronic information system (EIS) may reduce errors in drug dispensing and medical administration records (MAR). This paper tests whether the percentage of occupancy and metropolitan location are associated with the likelihood of using EIS for clinical care support.,no keywords,Journal Of The American Medical Directors Association,nurs home nh provid complex care individu comorbid reli multipl medic electron inform system ei may reduc error drug dispens medic administr record mar paper test whether percentag occup metropolitan locat associ likelihood use ei clinic care support factor associ use electron inform system drug dispens medic administr record nurs home
329,Compliance spectrum as a drug fingerprint of drug intake and drug disposition.,"Since drug related variability arises from different origins, particularly driven by the behaviour or physiology of the patient, the problems of drug intake and drug disposition are separately presented in general. To overcome the potential drawbacks of this artificial split, we propose in this paper a combined illustrative approach, named compliance spectrum, such that these two subprocesses can be equitably studied and visualized. We construct the compliance spectrum based on the Bayesian decision method we previously developed for the inverse problem of patient compliance within the framework of Population-PK. This spectrum provides an intuitive and interactive way to evaluate the relationship between drug intake and drug disposition along with their consequences on PK profile. As well, it opens a new direction for model quality diagnostic.",no keywords,Journal Of Pharmacokinetics And Pharmacodynamics,sinc drug relat variabl aris differ origin particularli driven behaviour physiolog patient problem drug intak drug disposit separ present gener overcom potenti drawback artifici split propos paper combin illustr approach name complianc spectrum two subprocess equit studi visual construct complianc spectrum base bayesian decis method previous develop invers problem patient complianc within framework spectrum provid intuit interact way evalu relationship drug intak drug disposit along consequ pk profil well open new direct model qualiti diagnost complianc spectrum drug fingerprint drug intak drug disposit
330,Improved refining properties of pulps pretreated with ionic liquids under mild conditions.,"Imidazolium-based ionic liquids (ILs), including 1-butyl-3-methylimidazolium chloride (BmimCl) and 1-allyl-3-methylimidazolium chloride (AmimCl), were used to improve the refining properties of pulps under mild conditions. Results showed that the macro appearance of pulps was virtually unchanged after pretreatment with ILs under mild conditions. In addition, chemical pulps pretreated with ILs are more suitable for pretreatment than chemimechanical pulps. Pretreatment with ILs facilitates the refining process by destroying hydrogen bonds, which exist extensively in fiber. At the same refining energy input, the Canada standard freeness (CSF) of refined pulp decreased with improved fiber quality. At identical CSF values, the energy consumed during refining significantly decreased because ILs pretreatment facilitated swelling and fibrillation. The viscosity of cellulose changed slightly after IL pretreatment. However, the crystallinity index and fines content decreased, and the micro appearance of the fiber surface changed. BmimCl has a stronger swelling influence on pulp than AmimCl under optimal conditions.",no keywords,Bioresource Technology,ionic liquid il includ chlorid bmimcl chlorid amimcl use improv refin properti pulp mild condit result show macro appear pulp virtual unchang pretreat il mild condit addit chemic pulp pretreat il suitabl pretreat chemimechan pulp pretreat il facilit refin process destroy hydrogen bond exist extens fiber refin energi input canada standard freeness csf refin pulp decreas improv fiber qualiti ident csf valu energi consum refin significantli decreas il pretreat facilit swell fibril viscos cellulos chang slightli il pretreat howev crystallin index fine content decreas micro appear fiber surfac chang bmimcl stronger swell influenc pulp amimcl optim condit improv refin properti pulp pretreat ionic liquid mild condit
331,Measuring the reflectance of hidden color objects with acoustically modulated laser speckle.,"We demonstrate a technique to measure the reflectance of colored objects, including blue, green, and yellow, hidden behind an opaque slab based on acoustically modulated laser speckle. One colored paper at a time was placed behind a 1 cm thick opaque slab with an air gap of 5 mm. Small periodic movements (nanometer scale) at 200 Hz were induced in the colored paper. A coherent red He-Ne laser illuminated the front of the slab, producing acoustically modulated speckle patterns, which were captured by a CCD camera. The magnitude of the time-varying speckle intensity is indicative of the hidden colored paper's reflectance.",no keywords,Optics Letters,demonstr techniqu measur reflect color object includ blue green yellow hidden behind opaqu slab base acoust modul laser speckl one color paper time place behind cm thick opaqu slab air gap mm small period movement nanomet scale hz induc color paper coher red laser illumin front slab produc acoust modul speckl pattern captur ccd camera magnitud speckl intens indic hidden color paper reflect measur reflect hidden color object acoust modul laser speckl
332,Improvement of high-yield pulp properties by using a small amount of bleached wheat straw pulp.,"In this study, the potential of using bleached wheat straw pulp (BWSP) was explored to improve the tensile strength of the high-yield pulp (HYP) while preserving its high bulk property. The results showed that with the addition of 5-10% refined BWSP, the HYP tensile strength can be increased by about 10-20% without sacrificing the bulk. Similar results were obtained by adding refined BWSP into a mixed furnish of bleached kraft pulps (BKPs) and HYP. The explanation was that micro fines from refined BWSP can act as binders to improve the HYP interfiber bonding, as a result, the HYP tensile strength can be improved by using a small amount of BWSP, while the HYP bulk is not significantly affected.",no keywords,Bioresource Technology,studi potenti use bleach wheat straw pulp bwsp explor improv tensil strength pulp hyp preserv high bulk properti result show addit refin bwsp hyp tensil strength increas without sacrif bulk similar result obtain ad refin bwsp mix furnish bleach kraft pulp bkp hyp explan micro fine refin bwsp act binder improv hyp interfib bond result hyp tensil strength improv use small amount bwsp hyp bulk significantli affect improv pulp properti use small amount bleach wheat straw pulp
333,Colloids engineering and filtration to enhance the sensitivity of paper-based biosensors.,"Paper-based biosensors represent a disruptive technology by providing instantaneous and low-cost diagnostics for health and environmental applications. The lack of sensitivity can be an obstacle for this technology to compete with traditional analytical instrumentations. Aiming to improve the sensitivity of a paper-based colorimetric biosensor, we have applied colloids engineering in combination with filtration to lower the paper substrate backgrounds and optimize the immobilization of bio-molecules on paper. A model system consisting of an enzyme, alkaline phosphatase (ALP), and an inorganic colloid, calcium carbonate (CC), flocculated by a cationic dimethylamino-ethyl-methacrylate polyacrylamide (CPAM), demonstrated that the optimized CC flocs are best for enhancing the detecting sensitivity of ALP. The CC floc structure on paper was optimized by modulating its structure in suspension. Subsequently, the filtration process and the wicking ability of paper enabled to freeze the deposited CC structure inherited from the suspension. The incorporation of biomolecules into the CC before immobilizing on paper through filtration provided not only a better microenvironment, but also a higher surface density of immobilized biomolecules. The ALP detection limit of 117 fmol per zone (5mm circle) in the current study was fifty times lower than that of the common soaking method for biomolecule immobilization. The minimum amount of biomolecules per unit substrate area required for detection was lowered by over an order of magnitude, compared with spotting methods (i.e. inkjet printing). The improvement was also demonstrated by the steepest slope of standard curve, the lowest background, and the highest activity of the bioactive paper probed with the diluted BCIP/NBT liquid substrates.",no keywords,"Colloids And Surfaces. B, Biointerfaces",biosensor repres disrupt technolog provid instantan diagnost health environment applic lack sensit obstacl technolog compet tradit analyt instrument aim improv sensit colorimetr biosensor appli colloid engin combin filtrat lower paper substrat background optim immobil paper model system consist enzym alkalin phosphatas alp inorgan colloid calcium carbon cc floccul cation polyacrylamid cpam demonstr optim cc floc best enhanc detect sensit alp cc floc structur paper optim modul structur suspens subsequ filtrat process wick abil paper enabl freez deposit cc structur inherit suspens incorpor biomolecul cc immobil paper filtrat provid better microenviron also higher surfac densiti immobil biomolecul alp detect limit fmol per zone circl current studi fifti time lower common soak method biomolecul immobil minimum amount biomolecul per unit substrat area requir detect lower order magnitud compar spot method inkjet print improv also demonstr steepest slope standard curv lowest background highest activ bioactiv paper probe dilut liquid substrat colloid engin filtrat enhanc sensit biosensor
334,"Characterization of the pretreatment liquor of biomass from the perennial grass, Eulaliopsis binata, for the production of dissolving pulp.","To test a biorefinery concept, the non-wood biomass of Eulaliopsis binata was treated with dilute acid prior to dissolving pulp production at 160 °C for 30 min. The pretreatment liquor (PL) contained 42.04 g/L sugars, of which 81.46% was xylose and only 2.91% was glucose. Furfural and hydroxymethylfurfural in PL were 0.37% and 0.06%, respectively. Chemical or enzymatic hydrolysis of carbohydrates could be omitted when producing bioethanol with PL because 87.32% of the total sugars were in the form of monosaccharides. Membrane filtration with a molecular-weight cut-off of 100 Da was employed to concentrate the sugars and a concentration of 170.49 g/L was achieved. A method of zero release of the PL is proposed, which consists of ethanol production from the concentrated PL and recycling the permeate stream into the pretreatment process.",no keywords,Bioresource Technology,test biorefineri concept biomass eulaliopsi binata treat dilut acid prior dissolv pulp product min pretreat liquor pl contain sugar xylos glucos furfur hydroxymethylfurfur pl respect chemic enzymat hydrolysi carbohydr could omit produc bioethanol pl total sugar form monosaccharid membran filtrat da employ concentr sugar concentr achiev method zero releas pl propos consist ethanol product concentr pl recycl permeat stream pretreat process character pretreat liquor biomass perenni grass eulaliopsi binata product dissolv pulp
