Title,Authors,Abstract,Publication Date,Journal,Keywords,MeSH Terms,DOI,Author Affiliations
Utilization of calcium carbonate particles from eggshell waste as coating pigments for ink-jet printing paper.,"Sukjoon Yoo, Jeffery S Hsieh, Peter Zou, John Kokoszka","The effective treatment and utilization of biowaste have been emphasized in our society for environmental and economic concerns. Recently, the eggshell waste in the poultry industry has been highlighted because of its reclamation potential. This study presents an economical treatment process to recover useful bioproducts from eggshell waste and their utilization in commercial products. We developed the dissolved air floatation (DAF) separation unit, which successfully recovered 96% of eggshell membrane and 99% of eggshell calcium carbonate (ECC) particles from eggshell waste within 2 h of operation. The recovered ECC particles were utilized as coating pigments for ink-jet printing paper and their impact on the ink density and paper gloss were investigated. The addition of the ECC particles as coating pigments enhances the optical density of cyan, magenta and yellow inks while decreasing the black ink density and the gloss of the coated paper.",2009,Bioresource technology,No keywords,"Animals, Calcium Carbonate, Copying Processes, Egg Shell, Ink, Paper, Particulate Matter, Pigments, Biological, Powders, Solutions, Spectrophotometry, Infrared, Thermogravimetry, Waste Products",10.1016/j.biortech.2009.06.112,"School of Chemical and Biomolecular Engineering, Georgia Institute of Technology, 311 Ferst Drive, Atlanta, GA 30332-0100, United States."
The crisis facing printed medical literature. Acid paper.,"A W Hafner, W P Whitely","Medicine strives to preserve the achievements of the past for the benefit of future clinicians and scientists. However, the paper on which medical journals are printed is steadily and irreversibly decaying. Since the late 1800s, most medical journals have been published on paper prepared with acids. In recent years, publishers, authors, and archivists have become aware of the destructive effects of acid decay on medical journals. Though the cause of deterioration is well understood, the choice of a remedy is still controversial. Remedies include acid-free paper, computerization, deacidification, and microfilm. These techniques are reviewed for their reliability, comprehensiveness, and cost-effectiveness. Microfilm is recommended above other techniques as the most immediately promising solution. The authors propose that publishers be required by law to submit archival quality microfilm as a condition for copyright protection.",No date available,Archives of internal medicine,No keywords,"Libraries, Medical, Library Technical Services, Microfilming, National Library of Medicine (U.S.), Paper, Periodicals as Topic, Publishing, United States",No DOI available,"Division of Library and Information Management, American Medical Association, Chicago, IL 60610."
Sharing bodies: the impact of the biomedical model of pregnancy on women's embodied experiences of the transition to motherhood.,Elena Neiterman,"This paper explores how a medicalized view of pregnancy shapes the process of pregnant embodiment and women's experiences postpartum. Analyzing interviews with 42 pregnant women and new mothers, I show that while women's experiences of pregnant embodiment are shaped by biomedical notions of pregnancy, women also bring new meaning to the biomedical guidelines. Women view pregnancy as a process of sharing their bodies with their children, and they continue to share their bodies with their newborns during the postpartum period. I conclude the paper by reflecting on the role of the body in shaping our understanding of medicalized phenomena.",No date available,Healthcare policy = Politiques de sante,No keywords,"Adolescent, Adult, Attitude to Health, Female, Humans, Infant, Newborn, Interviews as Topic, Medicalization, Mothers, Postpartum Period, Pregnancy, Young Adult",No DOI available,"Postdoctoral Fellow, Department of Sociology, University of Toronto, Toronto, ON."
Paper version of the Hong Kong Medical Journal should stay.,C S Feng,No abstract available,No date available,Hong Kong medical journal = Xianggang yi xue za zhi,No keywords,"Paper, Publications",No DOI available,
Collection efficiency of Whatman 41 filter paper for submicron aerosols.,"C L LINDEKEN, R L MORGIN, K F PETROCK",No abstract available,No date available,Health physics,"AEROSOLS, AIR POLLUTION, FILTERS, PAPER, POLYSTYRENES","Aerosols, Air Pollution, Filtration, Paper, Polystyrenes",No DOI available,
Improved imaging of rat hindfoot prints for walking track analysis.,"R B Johnston, L Zachary, A L Dellon, W A Seiler, D M Teplica",Walking track analysis is an investigative technique that allows a researcher to assess objectively the functional capacity of the limb in the rat sciatic nerve model. This study has shown that paint and paper is a better method for imaging the rat foot plantar surface than other methods described in the literature. The block printing paint has the distinct advantage of keeping radial diffusion error to a minimum. Paint more correctly images the important anatomical landmarks of the rat plantar surface. There is better traction (less slippage) rendering the prints easier to interpret. The authors conclude that the paint and paper is a superior method to the other methods currently available.,No date available,Journal of neuroscience methods,No keywords,"Animals, Dermatoglyphics, Evaluation Studies as Topic, Female, Foot, Gait, Paint, Paper, Radiography, Rats, Rats, Inbred Strains, Solutions",No DOI available,"College of Medicine, University of Illinois, Chicago."
Determination of color developers replacing bisphenol A in thermal paper receipts using diode array and Corona charged aerosol detection-A German market analysis 2018/2019.,"Martin Eckardt, Marie Kubicova, Duyen Tong, Thomas J Simat","Thermal papers (e.g. point of sale receipts, adhesive labels, tickets) significantly contribute to contamination of paper material cycles and the environment with substances of (eco-) toxicological concern. In particular, they contain color developers like endocrine disrupting bisphenols in typical concentrations of about 1-2 percent per weight (wt%). Bisphenol A (BPA) was used as the common color developer over the last decades, but it will be restricted for thermal paper application in the European Union to a limit of 0.02 wt% from 2020 onwards. Consequently, a variety of BPA substituents such as bisphenol S (BPS) and its derivatives gain importance in thermal paper application. In this study, a rapid, reliable and cost-effective method for identification and quantification of BPA, alternative color developers and related substances like sensitizers is presented based on HPLC separation coupled with diode array detection (DAD) and Corona charged aerosol detection (CAD). Quantification was performed with regard to the intended use of the substances in thermal papers. Besides traditional UV external calibration using reference standards, alternative quantification approaches, in particular UV chromophore concentration for BPS derivatives and CAD universal response technique for low-volatile color developers, were applied and compared in order to allow quantification without reference substances. A market analysis for intended used color developers and sensitizers was performed on thermal paper samples (n = 211) collected in Germany during 2018 and 2019. Pergafast 201 (in 41.7% of the samples) was the most common color developer with concentrations above 0.02 wt%, followed by BPA (36.0%), BPS (13.3%) and other BPS derivatives known as D8, D-90, BPS-MAE and TGSA, that are mainly present in adhesive labels. Sensitizers were determined in over 90% of the samples.",2019,Journal of chromatography. A,"Bisphenol A (BPA), Bisphenol S (BPS), Chromophore concentration, Corona charged aerosol detector (CAD), Pergafast 201, Thermal paper color developers","Aerosols, Benzhydryl Compounds, Calibration, Chromatography, High Pressure Liquid, Chromatography, Reverse-Phase, Color, Endocrine Disruptors, European Union, Germany, Limit of Detection, Linear Models, Marketing, Paper, Phenols, Reference Standards, Sulfones, Temperature",10.1016/j.chroma.2019.460437,"Chair for Food Chemistry and Food and Skin Contact Materials, Technische Universität Dresden, Dresden, Germany. Electronic address: martin.eckardt@chemie.tu-dresden.de., Chair for Food Chemistry and Food and Skin Contact Materials, Technische Universität Dresden, Dresden, Germany., Chair for Food Chemistry and Food and Skin Contact Materials, Technische Universität Dresden, Dresden, Germany., Chair for Food Chemistry and Food and Skin Contact Materials, Technische Universität Dresden, Dresden, Germany. Electronic address: thomas.simat@tu-dresden.de."
"A suspending-droplet mode paper-based microfluidic platform for low-cost, rapid, and convenient detection of lead(II) ions in liquid solution.","Han Sun, Wanbo Li, Zhen-Zhen Dong, Chong Hu, Chung-Hang Leung, Dik-Lung Ma, Kangning Ren","A paper-based microfluidic device based on unconventional principle was developed and used to detect lead ions through a two-step process including heated incubation and subsequent mixing. The device was made by generating a superhydrophobic pattern, which defines channel and reservoir barriers, on a water-impermeable paper substrate, followed by loading and drying the reagents in the defined reservoirs. Different from the conventional paper-based devices that are made of water-permeable paper, the as-prepared device holds water drops in discrete reservoirs, and the water drops will not move unless the device is titled along the direction of the predefined channels. In this way, the liquid samples applied onto the device are handled as individual drops and could be stored, transported, and mixed on demand. Different from the conventional paper-based devices that use capillary force to drive liquid, our new device uses wetting and gravity as driving force. We name this operation principle suspending-droplet mode paper-based device (SD-μPAD). The use of a Teflon contact-printing stamp makes the production of such devices rapid, cost efficient, and mass productive. Utilizing a G-quadruplex-based luminescence switch-on assay, we demonstrated rapid, convenient, highly sensitive, and low cost detection of lead(II) ions in water samples, using a custom made battery-powered portable device, and a smart phone as the detector.",2017,Biosensors & bioelectronics,"Iridium(III) complex, Lead(II) ion, Paper-based microfluidic device, Smart phone, Superhydrophobic","Biosensing Techniques, Ions, Lead, Microfluidic Analytical Techniques, Paper, Solutions, Water",10.1016/j.bios.2017.07.073,"Department of Chemistry, Hong Kong Baptist University, Kowloon Tong, Hong Kong, China., Department of Chemistry, Hong Kong Baptist University, Kowloon Tong, Hong Kong, China., Department of Chemistry, Hong Kong Baptist University, Kowloon Tong, Hong Kong, China., Department of Chemistry, Hong Kong Baptist University, Kowloon Tong, Hong Kong, China., State Key Laboratory of Quality Research in Chinese Medicine, Institute of Chinese Medical Sciences, University of Macau, Macao, China. Electronic address: duncanleung@umac.mo., Department of Chemistry, Hong Kong Baptist University, Kowloon Tong, Hong Kong, China; HKBU Institute of Research and Continuing Education, Shenzhen, China. Electronic address: edmondma@hkbu.edu.hk., Department of Chemistry, Hong Kong Baptist University, Kowloon Tong, Hong Kong, China; HKBU Institute of Research and Continuing Education, Shenzhen, China; State Key Laboratory of Environmental and Biological Analysis, The Hong Kong Baptist University, Waterloo Rd, Kowloon, Hong Kong, China. Electronic address: kangningren@hkbu.edu.hk."
Inkjet printing of drug substances and use of porous substrates-towards individualized dosing.,"Niklas Sandler, Anni Määttänen, Petri Ihalainen, Leif Kronberg, Axel Meierjohann, Tapani Viitala, Jouko Peltonen","Medicines are most often oral solid dosage forms made into tablets or capsules, and there is little room for individualized doses. The drug substance and additives are processed through multiple production phases, including complex powder handling steps. In drug manufacturing, the control of the solid-state properties of active pharmaceutical ingredient (API) is essential and it offers opportunities for enhancement of drug delivery systems. In this context, inkjet printing technologies have emerged over the last decades in pharmaceutical and biological applications and offer solutions for controlling material and product characteristics with high precision. Here we report the concept of conventional inkjet printing technology to produce printable pharmaceutical dosage forms on porous substrates. Data are shown to demonstrate inkjet printing of APIs into paper substrates, and how the model drug substances (paracetamol, theophylline, and caffeine) are penetrating the porous substrates used. The method enables controlling not only the deposition but also the crystallization of the drug substances. We anticipate that the inkjet printing approach has immense potential in making sophisticated drug delivery systems by use of porous substrates in the future. For example, it may offer new perspectives for solving problems around poorly soluble drugs and dosing low-dose medicines accurately. Furthermore, with the advent of genetic mapping of humans, controlled inkjet dosing can bring solutions to fabricate on-demand individualized medicines for patients.",2011,Journal of pharmaceutical sciences,No keywords,"Acetaminophen, Administration, Oral, Caffeine, Chromatography, Liquid, Dosage Forms, Mass Spectrometry, Paper, Pharmaceutical Preparations, Porosity, Precision Medicine, Printing, Solutions, Technology, Pharmaceutical, Theophylline",10.1002/jps.22526,"Department of Biosciences, Pharmaceutical Sciences Laboratory, Åbo Akademi University, Turku 20520, Finland. Electronic address: niklas.sandler@abo.fi., Center of Excellence for Functional Materials, Laboratory of Paper Coating and Converting, Åbo Akademi University, Turku 20520, Finland., Center of Excellence for Functional Materials, Laboratory of Paper Coating and Converting, Åbo Akademi University, Turku 20520, Finland., Laboratory of Organic Chemistry, Åbo Akademi University, Turku 20520, Finland., Laboratory of Organic Chemistry, Åbo Akademi University, Turku 20520, Finland., Faculty of Pharmacy, Division of Biopharmaceutics and Pharmacokinetics, University of Helsinki, Helsinki 00014, Finland., Center of Excellence for Functional Materials, Laboratory of Paper Coating and Converting, Åbo Akademi University, Turku 20520, Finland."
Polyacrylamide gel fixation by drying and gluing to both paper and transparent plastic.,Y V Guervaziev,No abstract available,No date available,BioTechniques,No keywords,"Acrylic Resins, Computer Security, Desiccation, Electrophoresis, Polyacrylamide Gel, Fixatives, Paper, Plastics",No DOI available,"Lab. of Molecular Biotechnology, Institute of Biomedical Chemistry, Moscow, Russia. yura@medic.ibmh.msk.su"
Electrophoretic evaluation of the mobility of drugs suitable for iontophoresis.,"S S Kamath, L P Gangarosa","Iontophoresis is the process of increasing the penetration of drugs for therapeutic purposes using DC electricity. The most important factor for iontophoresis is the formation of drug ions in solution. On this basis, the penetration of any drug applied by iontophoresis might be maximized at an optimal pH. Seven medications were investigated: acyclovir, methylprednisolone sodium succinate, metronidazole, dexamethasone sodium phosphate, minoxidil, lidocaine hydrochloride, and adenine arabinoside monophosphate. Using techniques of paper electrophoresis, we evaluated the influence of pH on the mobility (mu) of the drugs in phosphate buffers at pH 5, 7, and 9. The mu-values were calculated after detecting the drugs on paper with ultraviolet light. The results indicate that the seven drugs had higher mu-values usually at one, but sometimes at two, of the pH values studied. This study suggests that a variation in pH might alter the maximum ionization, and therefore, the optimal mobility for these seven drugs, as well as other drugs, suited to iontophoresis.",No date available,Methods and findings in experimental and clinical pharmacology,No keywords,"Electrophoresis, Paper, Hydrogen-Ion Concentration, Iontophoresis, Pharmaceutical Preparations",No DOI available,"Department of Oral Biology and Pharmacology, Medical College of Georgia, Augusta, USA."
A paper-based analytical device coupled with electrochemical detection for the determination of dexamethasone and prednisolone in adulterated traditional medicines.,"Vitsarut Primpray, Orawon Chailapakul, Manabu Tokeshi, Theerasak Rojanarata, Wanida Laiwattanapaisal","The adulteration of herbal medicines by dexamethasone or prednisolone is regarded as a serious problem in many communities. Herein, a novel platform for the separation and quantification of both target steroids in herbal medicines based on electrochemical paper-based analytical devices (ePADs) has been created. The ePAD was composed of Whatman SG81 chromatography paper, 3D-printed devices and a commercial screen-printed electrode. Whatman SG81 silica-coated paper was used for the separation of dexamethasone and prednisolone based on the difference in their partition coefficients during the flow of the mobile phase. The optimal mobile phase was composed of 60% ethyl acetate in cyclohexane and required 7 min for separation. The separated steroids on the paper were then quantified by electrochemical detection using differential pulse voltammetry, in which the 3D-printed devices facilitated the measurement. Analytical detection ranges of 10-500 μg mL<sup>-1</sup> were obtained for both dexamethasone and prednisolone (r<sup>2 </sup>= 0.988 and 0.994, respectively). The limits of detection for dexamethasone and prednisolone were 3.59 and 11.98 μg mL<sup>-1</sup>, respectively, whereas the limits of quantification were 6.00 and 20.02 μg mL<sup>-1</sup>, respectively. The amounts of both target steroids derived from real herbal medicine samples determined by the proposed method were comparable to those obtained with assays using standard high-performance liquid chromatography. In addition, a simple evaporation step can be used to increase the concentration of the samples before analysis. These ePADs are simple, low-cost, rapid, and very promising for on-site quantitative detection.",2019,Analytica chimica acta,"Dexamethasone, Electrochemical paper-based analytical device (ePAD), Herbal medicine, Paper chromatography, Prednisolone","Carbon, Chromatography, Paper, Dexamethasone, Drug Contamination, Electrochemical Techniques, Electrodes, Limit of Detection, Paper, Pharmaceutical Preparations, Plant Preparations, Prednisolone, Printing, Three-Dimensional",10.1016/j.aca.2019.05.072,"Graduate Program in Clinical Biochemistry and Molecular Medicine, Faculty of Allied Health Sciences, Chulalongkorn University, Bangkok, Thailand., Electrochemistry and Optical Spectroscopy Center of Excellence (EOSCE), Department of Chemistry, Faculty of Science, Chulalongkorn University, Bangkok, Thailand., Division of Applied Chemistry, Faculty of Engineering, Hokkaido University, Sapporo, Japan., Department of Pharmaceutical Chemistry, Faculty of Pharmacy, Silpakorn University, Nakhon Pathom, Thailand., Electrochemistry and Optical Spectroscopy Center of Excellence (EOSCE), Department of Chemistry, Faculty of Science, Chulalongkorn University, Bangkok, Thailand; Department of Clinical Chemistry, Faculty of Allied Health Sciences, Chulalongkorn University, Bangkok, Thailand. Electronic address: Wanida.L@chula.ac.th."
"Abstracts of papers. Pharmaceutical and biomedical analysis meeting. Oss (The Netherlands), 17 November 1989.",No authors listed,No abstract available,No date available,Pharmaceutisch weekblad. Scientific edition,No keywords,"Animals, Humans, Pharmaceutical Preparations",No DOI available,No affiliations available
"Abstracts of papers. Pharmaceutical and biomedical analysis meeting. Eindhoven (The Netherlands), 16 November 1990.",No authors listed,No abstract available,No date available,Pharmaceutisch weekblad. Scientific edition,No keywords,"Biopharmaceutics, Humans, Pharmaceutical Preparations",No DOI available,No affiliations available
Characterization of the surface properties of MgO using paper spray mass spectrometry.,"Yajun Zheng, Xiaoling Zhang, Zongquan Bai, Zhiping Zhang","Significant advances have been made in the preparation of different morphologies of magnesium oxide (MgO), but the relationship between MgO morphology and its interactions with therapeutic drugs is rarely studied. Herein, we investigated the interactions between different morphologies of MgO and therapeutic drugs using paper spray mass spectrometry.",No date available,Rapid communications in mass spectrometry : RCM,No keywords,"Dried Blood Spot Testing, Humans, Magnesium Oxide, Mass Spectrometry, Microscopy, Electron, Scanning, Paper, Pharmaceutical Preparations, Surface Properties",10.1002/rcm.7635,"School of Chemistry and Chemical Engineering, Xi'an Shiyou University, Xi'an, 710065, China., School of Chemistry and Chemical Engineering, Xi'an Shiyou University, Xi'an, 710065, China., School of Chemistry and Chemical Engineering, Xi'an Shiyou University, Xi'an, 710065, China., School of Chemistry and Chemical Engineering, Xi'an Shiyou University, Xi'an, 710065, China."
The effect of hematocrit on assay bias when using DBS samples for the quantitative bioanalysis of drugs.,"Philip Denniff, Neil Spooner","As hematocrit levels are known to vary between individuals and with disease state, its effect on the physical characteristics of dried blood spot (DBS) samples and on the accurate quantification of analytes within these samples is examined.",No date available,Bioanalysis,No keywords,"Acetaminophen, Aminoquinolines, Artifacts, Bias, Blood Chemical Analysis, Blood Specimen Collection, Cellulose, Desiccation, Female, Hematocrit, Humans, Male, Paper, Pharmaceutical Preparations, Quality Control",10.4155/bio.10.103,"Platform Technology & Science, Drug Metabolism and Pharmacokinetics, GlaxoSmithKline Research & Development, Ware, Hertfordshire, SG12 0DP, UK. philip_denniff-1@gsk.com"
The effect of pulping concentration treatment on the properties of microcrystalline cellulose powder obtained from waste paper.,Okumneme O Okwonna,"Microcrystalline cellulose (MCC) powder was isolated from three grades of waste paper: book, Groundwood/Newsprint and paperboard, through the processes of pulping and hydrolysis. Pulping treatment on these grades of waste paper was done using varying concentrations of caustic soda. Effects of the concentration of the pulping medium on the thermal and kinetic properties were investigated. Also determined were the effects of this on the physico-chemical properties. The chemical structure was characterized using an infrared spectroscopy (FTIR). Results showed these properties to be affected by the concentration of the pulping medium.",2013,Carbohydrate polymers,"Infrared spectroscopy (FTIR), Microcrystalline cellulose (MCC), Physico-chemical properties, Pulping medium, Thermal and kinetic analysis, Waste paper grades","Cellulose, Kinetics, Paper, Powders, Refuse Disposal, Thermodynamics",10.1016/j.carbpol.2013.06.039,"University of Port Harcourt, Department of Chemical Engineering, PMB 5323, Choba, Rivers State, Nigeria."
A low-cost paper-based platform for fast and reliable screening of cellular interactions with materials.,"E Rosqvist, E Niemelä, J Frisk, H Öblom, R Koppolu, H Abdelkader, D Soto Véliz, M Mennillo, A P Venu, P Ihalainen, M Aubert, N Sandler, C-E Wilén, M Toivakka, J E Eriksson, R Österbacka, J Peltonen","A paper-based platform was developed and tested for studies on basic cell culture, material biocompatibility, and activity of pharmaceuticals in order to provide a reliable, robust and low-cost cell study platform. It is based upon a paper or paperboard support, with a nanostructured latex coating to provide an enhanced cell growth and sufficient barrier properties. Wetting is limited to regions of interest using a flexographically printed hydrophobic polydimethylsiloxane layer with circular non-print areas. The nanostructured coating can be substituted for another coating of interest, or the regions of interest functionalized with a material to be studied. The platform is fully up-scalable, being produced with roll-to-roll rod coating, flexographic and inkjet printing methods. Results show that the platform efficiency is comparable to multi-well plates in colorimetric assays in three separate studies: a cell culture study, a biocompatibility study, and a drug screening study. The color intensity is quantified by using a common office scanner or an imaging device and the data is analyzed by a custom computer software without the need for expensive screening or analysis equipment.",2020,Journal of materials chemistry. B,No keywords,"Cells, Cultured, Coated Materials, Biocompatible, Dimethylpolysiloxanes, Drug Evaluation, Preclinical, Humans, Hydrophobic and Hydrophilic Interactions, Materials Testing, Paper, Particle Size, Pharmaceutical Preparations, Surface Properties",10.1039/c9tb01958h,"Laboratory of Physical Chemistry, Center for Functional Materials, Åbo Akademi University, Porthansgatan 3-5, 20500 Åbo, Finland. emil.rosqvist@abo.fi., Laboratory of Cell Biology, Center for Functional Materials, Åbo Akademi University, Bio City, Artillerigatan 6B, 20521 Åbo, Finland and Turku Bioscience Centre, University of Turku and Åbo Akademi University, 20520 Åbo, Finland., Laboratory of Physics, Center for Functional Materials, Åbo Akademi University, Porthansgatan 3-5, 20500 Åbo, Finland., Pharmaceutical Sciences Laboratory, Åbo Akademi University, Artillerigatan 6A, 20520 Åbo, Finland., Laboratory of Paper Coating, Center for Functional Materials, Åbo Akademi University, Porthansgatan 3-5, 20500 Åbo, Finland., Laboratory of Cell Biology, Center for Functional Materials, Åbo Akademi University, Bio City, Artillerigatan 6B, 20521 Åbo, Finland and Turku Bioscience Centre, University of Turku and Åbo Akademi University, 20520 Åbo, Finland., Laboratory of Paper Coating, Center for Functional Materials, Åbo Akademi University, Porthansgatan 3-5, 20500 Åbo, Finland., Laboratory of Polymer Technology, Center for Functional Materials, Åbo Akademi University, Biskopsgatan 3-5, 20500 Åbo, Finland., Laboratory of Cell Biology, Center for Functional Materials, Åbo Akademi University, Bio City, Artillerigatan 6B, 20521 Åbo, Finland and Turku Bioscience Centre, University of Turku and Åbo Akademi University, 20520 Åbo, Finland., Laboratory of Physical Chemistry, Center for Functional Materials, Åbo Akademi University, Porthansgatan 3-5, 20500 Åbo, Finland. emil.rosqvist@abo.fi., Laboratory of Polymer Technology, Center for Functional Materials, Åbo Akademi University, Biskopsgatan 3-5, 20500 Åbo, Finland., Pharmaceutical Sciences Laboratory, Åbo Akademi University, Artillerigatan 6A, 20520 Åbo, Finland., Laboratory of Polymer Technology, Center for Functional Materials, Åbo Akademi University, Biskopsgatan 3-5, 20500 Åbo, Finland., Laboratory of Paper Coating, Center for Functional Materials, Åbo Akademi University, Porthansgatan 3-5, 20500 Åbo, Finland., Laboratory of Cell Biology, Center for Functional Materials, Åbo Akademi University, Bio City, Artillerigatan 6B, 20521 Åbo, Finland and Turku Bioscience Centre, University of Turku and Åbo Akademi University, 20520 Åbo, Finland., Laboratory of Physics, Center for Functional Materials, Åbo Akademi University, Porthansgatan 3-5, 20500 Åbo, Finland., Laboratory of Physical Chemistry, Center for Functional Materials, Åbo Akademi University, Porthansgatan 3-5, 20500 Åbo, Finland. emil.rosqvist@abo.fi."
Rapid and on-site analysis of amphetamine-type illicit drugs in whole blood and raw urine by slug-flow microextraction coupled with paper spray mass spectrometry.,"Yunyun Yang, Junhui Wu, Jiewei Deng, Ke Yuan, Xi Chen, Ning Liu, Xiaowei Wang, Tiangang Luan","In this study, a slug-flow microextraction (SFME) coupled with paper spray mass spectrometry (PS-MS) method was developed for rapid and on-site analysis of trace amphetamine-type illicit drugs including amphetamine (AM), methamphetamine (MA) and 3,4-methylenedioxy-N-methylamphetamine (MDMA) in complex biological samples such as whole blood and raw urine. The method involved the application of SFME for rapid extraction of trace amphetamine-type illicit drugs from whole blood and raw urine samples, followed by PS for direct MS analysis under ambient and open-air conditions. The experimental parameters including extraction solvent, extraction cycle, high voltage, and spray solvent, etc., were all investigated, and the optimized conditions showed an enhanced sensitivity of 1-2 order of magnitudes compared with PS-MS. The method showed good linearity, with correlation coefficient values (r) of no less than 0.9979 for analysis of AM, MA, and MDMA in human whole blood and raw urine without additional sample pretreatments. The limits of detection and quantification were 0.01-0.05 ng/mL and 0.05-0.2 ng/mL, respectively. Satisfactory recoveries were also obtained, with 74.2-94.9% for whole blood and 80.2-103.6% for raw urine, respectively. All of our experimental results demonstrated that SFME-PS-MS showed great potential for rapid, on-site, in situ, and high-throughput screening of amphetamine-type illicit drugs in various biological samples.",2018,Analytica chimica acta,"Amphetamine-type illicit drugs, Paper spray-mass spectrometry, Raw urine, Slug-flow microextraction, Whole blood","Amphetamine, Humans, Illicit Drugs, Liquid Phase Microextraction, Mass Spectrometry, Paper, Substance Abuse Detection",10.1016/j.aca.2018.06.006,"Guangdong Engineering and Technology Research Center for Ambient Mass Spectrometry, Guangdong Provincial Key Laboratory of Emergency Test for Dangerous Chemicals, Guangdong Institute of Analysis (China National Analytical Center Guangzhou), 100 Xianlie Middle Road, Guangzhou, 510070, China. Electronic address: yy_yang@vip.126.com., State Key Laboratory of Biocontrol, South China Sea Bio-Resource Exploitation and Utilization Collaborative Innovation Center, School of Life Sciences, Sun Yat-Sen University, 135 Xingangxi Road, Guangzhou, 510275, China., State Key Laboratory of Biocontrol, South China Sea Bio-Resource Exploitation and Utilization Collaborative Innovation Center, School of Life Sciences, Sun Yat-Sen University, 135 Xingangxi Road, Guangzhou, 510275, China. Electronic address: jwdeng@126.com., Guangdong Provincial Key Laboratory of Marine Resources and Coastal Engineering, School of Marine Sciences, Sun Yat-Sen University, 135 Xingangxi Road, Guangzhou, 510275, China., Guangdong Provincial Key Laboratory of Marine Resources and Coastal Engineering, School of Marine Sciences, Sun Yat-Sen University, 135 Xingangxi Road, Guangzhou, 510275, China., Guangdong Engineering and Technology Research Center for Ambient Mass Spectrometry, Guangdong Provincial Key Laboratory of Emergency Test for Dangerous Chemicals, Guangdong Institute of Analysis (China National Analytical Center Guangzhou), 100 Xianlie Middle Road, Guangzhou, 510070, China., Guangdong Provincial Key Laboratory of Marine Resources and Coastal Engineering, School of Marine Sciences, Sun Yat-Sen University, 135 Xingangxi Road, Guangzhou, 510275, China., State Key Laboratory of Biocontrol, South China Sea Bio-Resource Exploitation and Utilization Collaborative Innovation Center, School of Life Sciences, Sun Yat-Sen University, 135 Xingangxi Road, Guangzhou, 510275, China. Electronic address: cesltg@mail.sysu.edu.cn."
"A holder for mass treatment of grids, adapted especially to electron staining and autoradiography.",J I Hiraoka,No abstract available,No date available,Stain technology,No keywords,"Absorption, Autoradiography, Emulsions, Microscopy, Electron, Paper, Polyvinyls, Staining and Labeling",No DOI available,
A comprehensive method validation strategy for bioanalytical applications in the pharmaceutical industry--1. Experimental considerations.,"J R Lang, S Bolton","The method validation strategy described consists of four components which are the prevalidation, validation proper, study proper and statistical analyses. These components constitute the platform upon which to evaluate the reliability and reproducibility of a bioanalytical method. Consideration has been given to emulate the study proper conditions to understand the method's limitations and performance expectations. The validation strategy will be presented in two papers. This first paper will describe the overall validation strategy, and the second paper will discuss the statistical analyses and data interpretation.",No date available,Journal of pharmaceutical and biomedical analysis,No keywords,"Drug Industry, Pharmaceutical Preparations, Quality Control, Reproducibility of Results",No DOI available,"Department of Clinical Pharmacokinetics, Glaxo Inc., Research Triangle Park, NC 27709."
Auxiliary test in vitro and in vivo demonstration of gonorrhoea by means of papers impregnated with oxidase agent.,"A Wierer, V Resl",No abstract available,No date available,Acta Universitatis Carolinae. Medica,No keywords,"Bacteriological Techniques, Color, Culture Media, Filtration, Gonorrhea, Humans, Indophenol, Methods, Oxidation-Reduction, Oxidoreductases, Paper, Solutions",No DOI available,
Removal of copper from aqueous solution using newspaper pulp as an adsorbent.,"S Chakravarty, S Pimple, Hema T Chaturvedi, S Singh, K K Gupta","Newspaper pulp was found to be a potential adsorbent for removal of copper from aqueous medium. Detail adsorption study of Cu on newspaper pulp was investigated. Batch adsorption study was carried out as a function of contact time, adsorbent dose, temperature (303-323 K). The experimental data was analyzed using Freundlich, Langmuir, Dubinin-Radushkevich (D-R) and Redlich-Peterson (R-P) isotherm models. It was found that Freundlich, Langmuir and R-P models fitted well. pH variation study revealed that the adsorption increased with increase in pH of the solution. Maximum loading capacity was found to be 30 mg g(-1) at 20 mg L(-1) of initial Cu concentration. Adsorption data were analyzed using two kinetic models, Lagergren first order and pseudo second order. It was observed that pseudo second order represented the best correlation. Langmuir isotherm was used to obtain the thermodynamic parameters such as free energy (DeltaG degrees ), enthalpy (DeltaH degrees ) and entropy (DeltaS degrees ) of adsorption. The negative value of free energy and positive value of enthalpy change indicate that the adsorption of Cu on newspaper pulp is a spontaneous process and endothermic. The results of activation energy also confirmed that the adsorption of Cu on newspaper pulp is physical in nature. Present investigation emphasized that newspaper pulp may be utilized as a low cost adsorbent for copper removal.",2008,Journal of hazardous materials,No keywords,"Adsorption, Copper, Hydrogen-Ion Concentration, Indicators and Reagents, Kinetics, Paper, Solutions, Temperature, Thermodynamics",10.1016/j.jhazmat.2008.02.030,"Analytical Chemistry Centre, National Metallurgical Laboratory, Jamshedpur 831007, India. sanchita@nmlindia.org"
"Pharmaceutical sciences in the Netherlands in 1987. Utrecht, March 19, 1987. Abstracts of papers.",No authors listed,No abstract available,No date available,Pharmaceutisch weekblad. Scientific edition,No keywords,"Animals, Humans, Pharmaceutical Preparations, Pharmacology",No DOI available,No affiliations available
